prioridad,nombre_informante,domicilio,colonia,localidad,riesgo_predicho,probabilidad_alto,motivo_prioridad,score_total,requiere_atencion_prioritaria
63,Enrique Ovando López,"Calle 5 de Mayo #39, Col. Linda Vista",Linda Vista,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); hacinamiento severo (más de 3 personas por cuarto),14,True
64,Roberto García Moreno,"Calle del Río #140, Col. Pacú",Pacú,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); hacinamiento severo (más de 3 personas por cuarto),12,True
65,Rafael Grajales Ovando,"1ra Calle Norte #75, Col. San Antonio",San Antonio,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); integrante embarazada; hacinamiento severo (más de 3 personas por cuarto),10,True
66,Leticia Flores Morales,"3ra Calle Norte #2, Col. Pacú",Pacú,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); hacinamiento severo (más de 3 personas por cuarto),11,True
67,Eduardo Ruiz García,"Boulevard Ángel Albino Corzo #153, Col. Las Granjas",Las Granjas,Tuxtla Gutiérrez,ALTO,1.0,riesgo familiar ALTO (modelo); mascota en la vivienda sin vacunación al corriente (riesgo zoonótico); hacinamiento severo (más de 3 personas por cuarto),12,True
68,Rosa Hernández Chanona,"Calle Matamoros #53, Col. Pacú",Pacú,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); menor de 1 año en el hogar; menor de 5 años sin vacunas registradas; mascota en la vivienda sin vacunación al corriente (riesgo zoonótico); hacinamiento severo (más de 3 personas por cuarto),11,True
69,Margarita Carmen Gutiérrez Zenteno,"Calle Allende #124, Col. San Jacinto",San Jacinto,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); hacinamiento severo (más de 3 personas por cuarto),12,True
70,Patricia Aguilar Méndez,"Calle Hidalgo #125, Col. Guadalupe",Guadalupe,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); menor de 1 año en el hogar; menor de 5 años sin vacunas registradas; hacinamiento severo (más de 3 personas por cuarto),11,True
71,María Ruiz Martínez,"Calle Morelos #46, Col. San Roque",San Roque,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); hacinamiento severo (más de 3 personas por cuarto),12,True
72,Leticia Castellanos López,"Calle Juárez #45, Col. San Antonio",San Antonio,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); mascota en la vivienda sin vacunación al corriente (riesgo zoonótico); hacinamiento severo (más de 3 personas por cuarto),12,True
73,Sergio Jiménez Ovando,"Calle Morelos #160, Col. San Antonio",San Antonio,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); hacinamiento severo (más de 3 personas por cuarto),11,True
74,Pedro Eduardo González Espinosa,"Calle Hidalgo #171, Col. San Roque",San Roque,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); hacinamiento severo (más de 3 personas por cuarto),14,True
75,Verónica Juana Vázquez Ovando,"1ra Calle Norte #267, Col. Las Palmas",Las Palmas,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); integrante embarazada; menor de 5 años sin vacunas registradas; hacinamiento severo (más de 3 personas por cuarto),12,True
76,Francisco Ruiz Ovando,"Calle 5 de Mayo #98, Col. San Antonio",San Antonio,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); menor de 5 años sin vacunas registradas; hacinamiento severo (más de 3 personas por cuarto),11,True
77,Luis Francisco Espinosa Sánchez,"Calle Morelos #112, Col. San Roque",San Roque,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); integrante embarazada; menor de 1 año en el hogar; menor de 5 años sin vacunas registradas; hacinamiento severo (más de 3 personas por cuarto),12,True
78,Claudia Ruiz Ruiz,"Calle Libertad #135, Col. San Antonio",San Antonio,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); hacinamiento severo (más de 3 personas por cuarto),12,True
79,Martha Flores Torres,"1ra Calle Norte #236, Col. El Calvario",El Calvario,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); menor de 5 años sin vacunas registradas; mascota en la vivienda sin vacunación al corriente (riesgo zoonótico); hacinamiento severo (más de 3 personas por cuarto),12,True
80,Juana Moreno Hernández,"Calle Real #114, Col. Pacú",Pacú,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); mascota en la vivienda sin vacunación al corriente (riesgo zoonótico),11,True
81,Luis Flores Domínguez,"Calle Juárez #255, Col. San Antonio",San Antonio,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); hacinamiento severo (más de 3 personas por cuarto),13,True
82,Sofía Moreno Gómez,"Calle Juárez #32, Col. San Roque",San Roque,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); hacinamiento severo (más de 3 personas por cuarto),12,True
83,Beatriz Castellanos Méndez,"Calle Morelos #41, Col. El Calvario",El Calvario,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); hacinamiento severo (más de 3 personas por cuarto),11,True
84,Pedro Alberto Torres Castellanos,"3ra Calle Norte #239, Col. Linda Vista",Linda Vista,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); hacinamiento severo (más de 3 personas por cuarto),11,True
85,Enrique Penagos Moreno,"Calle Juárez #210, Col. San Jacinto",San Jacinto,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); integrante embarazada; hacinamiento severo (más de 3 personas por cuarto),11,True
86,Lucía Castellanos Chanona,"Avenida 20 de Noviembre #52, Col. Centro",Centro,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); hacinamiento severo (más de 3 personas por cuarto),13,True
87,Teresa López López,"Calzada de las Etnias #213, Col. El Bosque",El Bosque,Tuxtla Gutiérrez,ALTO,1.0,riesgo familiar ALTO (modelo); hacinamiento severo (más de 3 personas por cuarto),12,True
88,Margarita Martínez Nucamendi,"Avenida Emiliano Zapata #257, Col. San Roque",San Roque,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); menor de 1 año en el hogar; menor de 5 años sin vacunas registradas; hacinamiento severo (más de 3 personas por cuarto),12,True
89,Patricia Juana Flores González,"Calle Morelos #57, Col. Guadalupe",Guadalupe,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); hacinamiento severo (más de 3 personas por cuarto),14,True
90,Patricia Nucamendi Velázquez,"Calle Juárez #123, Col. San Antonio",San Antonio,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); menor de 5 años sin vacunas registradas; hacinamiento severo (más de 3 personas por cuarto),11,True
91,Miguel Castellanos Grajales,"Calle Allende #20, Col. San Antonio",San Antonio,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); mascota en la vivienda sin vacunación al corriente (riesgo zoonótico); hacinamiento severo (más de 3 personas por cuarto),11,True
92,Carlos Ovando Méndez,"Avenida Emiliano Zapata #128, Col. Linda Vista",Linda Vista,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); hacinamiento severo (más de 3 personas por cuarto),12,True
93,Miguel Ovando López,"Boulevard Ángel Albino Corzo #28, Col. Las Granjas",Las Granjas,Tuxtla Gutiérrez,ALTO,1.0,riesgo familiar ALTO (modelo); menor de 1 año en el hogar; menor de 5 años sin vacunas registradas; hacinamiento severo (más de 3 personas por cuarto),12,True
94,María Lucía Ovando Flores,"1ra Calle Norte #67, Col. San Antonio",San Antonio,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); mascota en la vivienda sin vacunación al corriente (riesgo zoonótico); hacinamiento severo (más de 3 personas por cuarto),12,True
95,Elena Castellanos Flores,"Avenida de la Juventud #25, Col. Albania Baja",Albania Baja,Tuxtla Gutiérrez,ALTO,1.0,riesgo familiar ALTO (modelo); integrante embarazada,10,True
96,Elena Claudia Vázquez Morales,"Calle 5 de Mayo #35, Col. Pacú",Pacú,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); menor de 5 años sin vacunas registradas,11,True
97,Marco Jiménez González,"Calle 1 Norte #87, Col. Albania Baja",Albania Baja,Tuxtla Gutiérrez,ALTO,1.0,riesgo familiar ALTO (modelo); hacinamiento severo (más de 3 personas por cuarto),11,True
98,Sofía Penagos Flores,"3ra Calle Norte #41, Col. El Calvario",El Calvario,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); hacinamiento severo (más de 3 personas por cuarto),11,True
99,Óscar Penagos Gutiérrez,"Calle Allende #167, Col. San Antonio",San Antonio,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); hacinamiento severo (más de 3 personas por cuarto),11,True
100,Adriana Chanona Espinosa,"2da Calle Norte #1, Col. Guadalupe",Guadalupe,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); hacinamiento severo (más de 3 personas por cuarto),11,True
101,Guadalupe Adriana López Grajales,"Calle del Río #187, Col. Guadalupe",Guadalupe,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); hacinamiento severo (más de 3 personas por cuarto),11,True
102,Silvia González Martínez,"Calle Libertad #245, Col. El Calvario",El Calvario,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); menor de 5 años sin vacunas registradas; hacinamiento severo (más de 3 personas por cuarto),12,True
103,Lucía Nucamendi Velázquez,"Avenida de la Juventud #258, Col. Patria Nueva",Patria Nueva,Tuxtla Gutiérrez,ALTO,1.0,riesgo familiar ALTO (modelo); menor de 5 años sin vacunas registradas,10,True
104,Alejandra Velázquez Vázquez,"Calle Libertad #197, Col. Las Palmas",Las Palmas,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); hacinamiento severo (más de 3 personas por cuarto),11,True
105,Martha Juana Morales Vázquez,"Calle Real #77, Col. San Roque",San Roque,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); mascota en la vivienda sin vacunación al corriente (riesgo zoonótico); hacinamiento severo (más de 3 personas por cuarto),12,True
106,Teresa Pérez Gutiérrez,"Calle 2 Sur #89, Col. Albania Baja",Albania Baja,Tuxtla Gutiérrez,ALTO,1.0,riesgo familiar ALTO (modelo); hacinamiento severo (más de 3 personas por cuarto),11,True
107,Elena Méndez Aguilar,"5a Avenida Sur #260, Col. Centro",Centro,Tuxtla Gutiérrez,ALTO,1.0,riesgo familiar ALTO (modelo); menor de 1 año en el hogar; menor de 5 años sin vacunas registradas; hacinamiento severo (más de 3 personas por cuarto),11,True
108,Lucía Cruz Gutiérrez,"2da Calle Norte #57, Col. San Jacinto",San Jacinto,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); menor de 5 años sin vacunas registradas; hacinamiento severo (más de 3 personas por cuarto),12,True
109,Juan Cruz Torres,"Libramiento Norte #111, Col. Penipak",Penipak,Tuxtla Gutiérrez,ALTO,1.0,riesgo familiar ALTO (modelo); integrante embarazada; mascota en la vivienda sin vacunación al corriente (riesgo zoonótico); hacinamiento severo (más de 3 personas por cuarto),11,True
110,Rosa Guadalupe Gutiérrez Ruiz,"Avenida Emiliano Zapata #206, Col. Centro",Centro,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); menor de 1 año en el hogar; menor de 5 años sin vacunas registradas; hacinamiento severo (más de 3 personas por cuarto),12,True
111,Marco Aguilar Moreno,"Avenida Emiliano Zapata #244, Col. San Roque",San Roque,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); integrante embarazada; mascota en la vivienda sin vacunación al corriente (riesgo zoonótico); hacinamiento severo (más de 3 personas por cuarto),11,True
112,Juana Alejandra González González,"Calle Real #278, Col. El Calvario",El Calvario,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); hacinamiento severo (más de 3 personas por cuarto),12,True
113,Eduardo Óscar Ramírez Coutiño,"Calle Morelos #187, Col. Las Palmas",Las Palmas,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); integrante embarazada; menor de 1 año en el hogar; menor de 5 años sin vacunas registradas,11,True
114,Antonio Ovando Nucamendi,"Avenida Emiliano Zapata #121, Col. San Jacinto",San Jacinto,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); mascota en la vivienda sin vacunación al corriente (riesgo zoonótico); hacinamiento severo (más de 3 personas por cuarto),12,True
115,Patricia Patricia Coutiño Coutiño,"Avenida Emiliano Zapata #22, Col. El Calvario",El Calvario,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); mascota en la vivienda sin vacunación al corriente (riesgo zoonótico); hacinamiento severo (más de 3 personas por cuarto),11,True
116,Margarita Patricia Domínguez Coutiño,"3ra Calle Norte #163, Col. Las Palmas",Las Palmas,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); integrante embarazada,12,True
117,Martha Gómez Nucamendi,"1ra Calle Norte #41, Col. Guadalupe",Guadalupe,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); integrante embarazada; hacinamiento severo (más de 3 personas por cuarto),11,True
118,Martha Zenteno López,"Calle Real #156, Col. San José",San José,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); hacinamiento severo (más de 3 personas por cuarto),11,True
119,Patricia Méndez Flores,"Calle Juárez #124, Col. San José",San José,Suchiapa,ALTO,0.9999,riesgo familiar ALTO (modelo); integrante embarazada,10,True
120,María López Ramírez,"Calle Matamoros #226, Col. San Jacinto",San Jacinto,Suchiapa,ALTO,0.9999,riesgo familiar ALTO (modelo); integrante embarazada; menor de 1 año en el hogar; menor de 5 años sin vacunas registradas; hacinamiento severo (más de 3 personas por cuarto),10,True
121,Eduardo Zenteno Penagos,"Avenida de la Juventud #83, Col. Colinas del Sur",Colinas del Sur,Tuxtla Gutiérrez,ALTO,0.9999,riesgo familiar ALTO (modelo); menor de 1 año en el hogar; menor de 5 años sin vacunas registradas; mascota en la vivienda sin vacunación al corriente (riesgo zoonótico),11,True
122,Francisco Óscar Gutiérrez Méndez,"Avenida 20 de Noviembre #144, Col. San Roque",San Roque,Suchiapa,ALTO,0.9999,riesgo familiar ALTO (modelo); mascota en la vivienda sin vacunación al corriente (riesgo zoonótico),9,True
